text	label
"that is to end the state of hostility , "" Thursday 's overseas edition of the People 's Daily quoted Tang as saying ."	[('ORG', 16, 18), ('PER', 20, 20)]
The foreign ministry 's Shen told Reuters Television in an interview he had read reports of Tang 's comments but gave no details of why the negotiator had considered the time right for talks with Taiwan , which Beijing considers a renegade province .	[('ORG', 4, 4), ('ORG', 6, 7), ('PER', 16, 16), ('LOC', 35, 35), ('LOC', 38, 38)]
China , which has long opposed all Taipei efforts to gain greater international recognition , was infuriated by a visit to Ukraine this week by Taiwanese Vice President Lien .	[('PER', 28, 28), ('LOC', 0, 0), ('LOC', 7, 7), ('LOC', 21, 21), ('MISC', 25, 25)]
China says time right for Taiwan talks .	[('LOC', 0, 0), ('LOC', 5, 5)]
BEIJING 1996-08-22	[('LOC', 0, 0)]
China has said it was time for political talks with Taiwan and that the rival island should take practical steps towards that goal .	[('LOC', 0, 0), ('LOC', 10, 10)]
Consultations should be held to set the time and format of the talks , the official Xinhua news agency quoted Tang Shubei , executive vice chairman of the Association for Relations Across the Taiwan Straits , as saying late on Wednesday .	[('ORG', 16, 16), ('ORG', 28, 34), ('PER', 20, 21)]
German July car registrations up 14.2 pct yr / yr .	[('MISC', 0, 0)]
FRANKFURT 1996-08-22	[('LOC', 0, 0)]
German first-time registrations of motor vehicles jumped 14.2 percent in July this year from the year-earlier period , the Federal office for motor vehicles said on Thursday .	[('ORG', 19, 23), ('MISC', 0, 0)]
The office said 356,725 new cars were registered in July 1996 -- 304,850 passenger cars and 15,613 trucks .	[]
The figures represent a 13.6 percent increase for passenger cars and a 2.2 percent decline for trucks from July 1995 .	[]
Motor-bike registration rose 32.7 percent in the period .	[]
The growth was partly due to an increased number of Germans buying German cars abroad , while manufacturers said that domestic demand was weak , the federal office said .	[('MISC', 10, 10), ('MISC', 12, 12)]
Almost all German car manufacturers posted gains in registration numbers in the period .	[('MISC', 2, 2)]
Volkswagen AG won 77,719 registrations , slightly more than a quarter of the total .	[('ORG', 0, 1)]
Opel AG together with General Motors came in second place with 49,269 registrations , 16.4 percent of the overall figure .	[('ORG', 0, 1), ('ORG', 4, 5)]
Third was Ford with 35,563 registrations , or 11.7 percent .	[('ORG', 2, 2)]
Only Seat and Porsche had fewer registrations in July 1996 compared to last year 's July .	[('ORG', 1, 1), ('ORG', 3, 3)]
Seat posted 3,420 registrations compared with 5522 registrations in July a year earlier .	[('ORG', 0, 0)]
Porsche 's registrations fell to 554 from 643 .	[('ORG', 0, 0)]
GREEK SOCIALISTS GIVE GREEN LIGHT TO PM FOR ELECTIONS .	[('MISC', 0, 0)]
ATHENS 1996-08-22	[('LOC', 0, 0)]
The Greek socialist party 's executive bureau gave the green light to Prime Minister Costas Simitis to call snap elections , its general secretary Costas Skandalidis told reporters .	[('PER', 14, 15), ('PER', 24, 25), ('MISC', 1, 1)]
Prime Minister Costas Simitis is going to make an official announcement after a cabinet meeting later on Thursday , said Skandalidis .	[('PER', 2, 3), ('PER', 20, 20)]
-- Dimitris Kontogiannis , Athens Newsroom +301 3311812-4	[('ORG', 4, 5), ('PER', 1, 2)]
BayerVB sets C$ 100 million six-year bond .	[('ORG', 0, 0), ('MISC', 2, 2)]
LONDON 1996-08-22	[('LOC', 0, 0)]
The following bond was announced by lead manager Toronto Dominion .	[('PER', 8, 9)]
BORROWER BAYERISCHE VEREINSBANK	[('ORG', 1, 2)]
AMT C$ 100 MLN COUPON 6.625 MATURITY 24.SEP.02	[('MISC', 1, 1)]
TYPE STRAIGHT ISS PRICE 100.92 PAY DATE 24.SEP.96	[]
FULL FEES 1.875 REOFFER 99.32 SPREAD +20 BP	[]
MOODY AA1 LISTING LUX PAY FREQ =	[]
S&P = DENOMS ( K ) 1-10-100 SALE LIMITS US / UK / CA	[('ORG', 0, 0), ('LOC', 9, 9), ('LOC', 11, 11), ('LOC', 13, 13)]
NEG PLG NO CRS DEFLT NO FORCE MAJ =	[]
GOV LAW GERMAN HOME CTRY = TAX PROVS STANDARD	[('MISC', 2, 2)]
MGT / UND 0.275 SELL CONC 1.60 PRAECIP =	[]
UNDERLYING GOVT BOND 7.0 PCT SEPT 2001	[]
NOTES BAYERISCHE VEREINSBANK IS JOINT LEAD MANAGER	[('ORG', 1, 2)]
-- London Newsroom +44 171 542 7658	[('ORG', 1, 2)]
Venantius sets $ 300 million January 1999 FRN .	[('ORG', 0, 0)]
LONDON 1996-08-22	[('LOC', 0, 0)]
The following floating-rate issue was announced by lead manager Lehman Brothers International .	[('ORG', 9, 11)]
BORROWER VENANTIUS AB ( SWEDISH NATIONAL MORTGAGE AGENCY )	[('ORG', 1, 2), ('MISC', 4, 4)]
AMT $ 300 MLN SPREAD - 12.5 BP MATURITY 21.JAN.99	[]
TYPE FRN BASE 3M LIBOR PAY DATE S23.SEP.96	[('ORG', 3, 3)]
LAST MOODY AA3 ISS PRICE 99.956 FULL FEES 10 BP	[]
LAST S&P AA+ REOFFER =	[('ORG', 1, 1)]
NOTES S SHORT FIRST COUPON	[]
LISTING LONDON DENOMS ( K ) 1-10-100 SALE LIMITS US / UK / JP / FR	[('LOC', 1, 1), ('LOC', 9, 9), ('LOC', 11, 11), ('LOC', 13, 13), ('LOC', 15, 15)]
NEG PLG YES CRS DEFLT NO FORCE MAJ IPMA 2	[]
GOV LAW ENGLISH HOME CTRY SWEDEN TAX PROVS STANDARD	[('LOC', 5, 5), ('MISC', 2, 2)]
MGT / UND 5 BP SELL CONC 5 BP PRAECIP =	[]
NOTES ISSUED OFF EMTN PROGRAMME	[]
-- London Newsroom +44 171 542 8863	[('ORG', 1, 2)]
Port conditions update - Syria - Lloyds Shipping .	[('ORG', 6, 7), ('LOC', 4, 4)]
Port conditions from Lloyds Shipping Intelligence Service --	[('ORG', 3, 6)]
LATTAKIA , Aug 10 - waiting time at Lattakia and Tartous presently 24 hours .	[('LOC', 0, 0), ('LOC', 8, 8), ('LOC', 10, 10)]
Israel plays down fears of war with Syria .	[('LOC', 0, 0), ('LOC', 7, 7)]
Colleen Siegel	[('PER', 0, 1)]
JERUSALEM 1996-08-22	[('LOC', 0, 0)]
Israel 's outgoing peace negotiator with Syria said on Thursday current tensions between the two countries appeared to be a storm in a teacup .	[('LOC', 0, 0), ('LOC', 6, 6)]
Itamar Rabinovich , who as Israel 's ambassador to Washington conducted unfruitful negotiations with Syria , told Israel Radio it looked like Damascus wanted to talk rather than fight .	[('ORG', 17, 18), ('PER', 0, 1), ('LOC', 5, 5), ('LOC', 9, 9), ('LOC', 14, 14), ('LOC', 22, 22)]
""" It appears to me the Syrian priority is still to negotiate ."	[('MISC', 6, 6)]
"The Syrians are confused , they are definitely tense , but the general assessment here in Washington is that this is essentially a storm in a teacup , "" he said ."	[('LOC', 16, 16), ('MISC', 1, 1)]
Rabinovich is winding up his term as ambassador .	[('PER', 0, 0)]
He will be replaced by Eliahu Ben-Elissar , a former Israeli envoy to Egypt and right-wing Likud party politician .	[('ORG', 16, 16), ('PER', 5, 6), ('LOC', 13, 13), ('MISC', 10, 10)]
Israel on Wednesday sent Syria a message , via Washington , saying it was committed to peace and wanted to open negotiations without preconditions .	[('LOC', 0, 0), ('LOC', 4, 4), ('LOC', 9, 9)]
But it slammed Damascus for creating what it called a dangerous atmosphere .	[('LOC', 3, 3)]
Syria accused Israel on Wednesday of launching a hysterical campaign against it after Israeli television reported that Damascus had recently test fired a missile .	[('LOC', 0, 0), ('LOC', 2, 2), ('LOC', 17, 17), ('MISC', 13, 13)]
It said its arms purchases were for defensive purposes .	[]
""" The message that we sent to ( Syrian President Hafez al- ) Assad is that Israel is ready at any time without preconditions to enter peace negotiations , "" Israeli Foreign Minister David Levy told Israel Radio in an interview ."	[('ORG', 36, 37), ('PER', 10, 11), ('PER', 13, 13), ('PER', 33, 34), ('LOC', 16, 16), ('MISC', 8, 8), ('MISC', 30, 30)]
Tension has mounted since Israeli Prime Minister Benjamin Netanyahu took office in June vowing to retain the Golan Heights Israel captured from Syria in the 1967 Middle East war .	[('PER', 7, 8), ('LOC', 17, 18), ('LOC', 19, 19), ('LOC', 22, 22), ('LOC', 26, 27), ('MISC', 4, 4)]
Israeli-Syrian peace talks have been deadlocked over the Golan since 1991 despite the previous government 's willingness to make Golan concessions .	[('LOC', 8, 8), ('LOC', 19, 19), ('MISC', 0, 0)]
Peace talks between the two sides were last held in February .	[]
""" The voices coming out of Damascus are bad , not good ."	[('LOC', 6, 6)]
The media ...	[]
are full of expressions and declarations that must be worrying ...	[]
"this artificial atmosphere is very dangerous because those who spread it could become its prisoners , "" Levy said ."	[('PER', 17, 17)]
""" We expect from Syria , if its face is to peace , that it will answer Israel 's message to enter peace negotiations because that is our goal , "" he said . """	[('LOC', 4, 4), ('LOC', 17, 17)]
We do not want a war , God forbid .	[('PER', 7, 7)]
"No one benefits from wars . """	[]
"Israel 's Channel Two television said Damascus had sent a "" calming signal "" to Israel ."	[('ORG', 2, 3), ('LOC', 0, 0), ('LOC', 6, 6), ('LOC', 15, 15)]
It gave no source for the report .	[]
Netanyahu and Levy 's spokesmen said they could not confirm it .	[('PER', 0, 0), ('PER', 2, 2)]
The television also said that Netanyahu had sent messages to reassure Syria via Cairo , the United States and Moscow .	[('PER', 5, 5), ('LOC', 11, 11), ('LOC', 13, 13), ('LOC', 16, 17), ('LOC', 19, 19)]
Polish diplomat denies nurses stranded in Libya .	[('LOC', 6, 6), ('MISC', 0, 0)]
TUNIS 1996-08-22	[('LOC', 0, 0)]
A Polish diplomat on Thursday denied a Polish tabloid report this week that Libya was refusing exit visas to 100 Polish nurses trying to return home after working in the North African country .	[('LOC', 13, 13), ('MISC', 1, 1), ('MISC', 7, 7), ('MISC', 20, 20), ('MISC', 30, 31)]
""" This is not true ."	[]
"Up to today , we have no knowledge of any nurse stranded or kept in Libya without her will , and we have not received any complaint , "" the Polish embassy 's charge d'affaires in Tripoli , Tadeusz Awdankiewicz , told Reuters by telephone ."	[('ORG', 42, 42), ('PER', 38, 39), ('LOC', 15, 15), ('LOC', 36, 36), ('MISC', 30, 30)]
Poland 's labour ministry said this week it would send a team to Libya to investigate , but Awdankiewicz said the probe was prompted by some nurses complaining about their work conditions such as non-payment of their salaries .	[('PER', 18, 18), ('LOC', 0, 0), ('LOC', 13, 13)]
He said that there are an estimated 800 Polish nurses working in Libya .	[('LOC', 12, 12), ('MISC', 8, 8)]
Two Iranian opposition leaders meet in Baghdad .	[('LOC', 6, 6), ('MISC', 1, 1)]
Hassan Hafidh	[('PER', 0, 1)]
BAGHDAD 1996-08-22	[('LOC', 0, 0)]
An Iranian exile group based in Iraq vowed on Thursday to extend support to Iran 's Kurdish rebels after they were attacked by Iranian troops deep inside Iraq last month .	[('LOC', 6, 6), ('LOC', 14, 14), ('LOC', 27, 27), ('MISC', 1, 1), ('MISC', 16, 16), ('MISC', 23, 23)]
A Mujahideen Khalq statement said its leader Massoud Rajavi met in Baghdad the Secretary-General of the Kurdistan Democratic Party of Iran ( KDPI ) Hassan Rastegar on Wednesday and voiced his support to Iran 's rebel Kurds .	[('ORG', 1, 2), ('ORG', 16, 20), ('ORG', 22, 22), ('PER', 7, 8), ('PER', 24, 25), ('LOC', 11, 11), ('LOC', 33, 33), ('MISC', 36, 36)]
""" Rajavi emphasised that the Iranian Resistance would continue to stand side by side with their Kurdish compatriots and the resistance movement in Iranian Kurdistan , "" it said ."	[('ORG', 6, 6), ('LOC', 23, 24), ('MISC', 1, 1), ('MISC', 5, 5), ('MISC', 16, 16)]
"A spokesman for the group said the meeting "" signals a new level of cooperation between Mujahideen Khalq and the Iranian Kurdish oppositions "" ."	[('ORG', 16, 17), ('MISC', 20, 21)]
Iran heavily bombarded targets in northern Iraq in July in pursuit of KDPI guerrillas based in Iraqi Kurdish areas outside the control of the government in Baghdad .	[('ORG', 12, 12), ('LOC', 0, 0), ('LOC', 6, 6), ('LOC', 26, 26), ('MISC', 16, 17)]
Iraqi Kurdish areas bordering Iran are under the control of guerrillas of the Iraqi Kurdish Patriotic Union of Kurdistan ( PUK ) group .	[('ORG', 13, 18), ('ORG', 20, 20), ('LOC', 4, 4), ('MISC', 0, 1)]
PUK and Iraq 's Kurdistan Democratic Party ( KDP ) the two main Iraqi Kurdish factions , have had northern Iraq under their control since Iraqi forces were ousted from Kuwait in the 1991 Gulf War .	[('ORG', 0, 0), ('ORG', 4, 6), ('ORG', 8, 8), ('LOC', 2, 2), ('LOC', 20, 20), ('LOC', 30, 30), ('MISC', 13, 14), ('MISC', 25, 25), ('MISC', 34, 35)]
Clashes between the two parties broke out at the weekend in the most serious fighting since a U.S.-sponsored ceasefire last year .	[('MISC', 17, 17)]
Mujahideen Khalq said Iranian troops had also been shelling KDP positions in Qasri region in Suleimaniya province near the Iranian border over the last two days .	[('ORG', 0, 1), ('ORG', 9, 9), ('LOC', 12, 12), ('LOC', 15, 15), ('MISC', 3, 3), ('MISC', 19, 19)]
It said about 100 Iraqi Kurds were killed or wounded in the attack .	[('MISC', 4, 5)]
Both Iran and Turkey mount air and land strikes at targets in northern Iraq in pursuit of their own Kurdish rebels .	[('LOC', 1, 1), ('LOC', 3, 3), ('LOC', 13, 13), ('MISC', 19, 19)]
A U.S.-led air force in southern Turkey protects Iraqi Kurds from possible attacks by Baghdad troops .	[('LOC', 6, 6), ('LOC', 14, 14), ('MISC', 1, 1), ('MISC', 8, 9)]
Saudi riyal rates steady in quiet summer trade .	[('MISC', 0, 0)]
MANAMA 1996-08-22	[('LOC', 0, 0)]
The spot Saudi riyal against the dollar and riyal interbank deposit rates were mainly steady this week in quiet summer trade , dealers in the kingdom said .	[('MISC', 2, 2)]
""" There were no changes in Saudi riyal rates ."	[('MISC', 6, 6)]
"The market was very quiet because of summer holidays , "" one dealer said ."	[]
The spot riyal was put at 3.7504 / 06 to the dollar .	[]
One-month interbank deposits were at 5-1/2 , 3/8 percent , three months were 5-5/8 , 1/2 percent and six months were 5-3/4 , 5/8 percent .	[('MISC', 0, 0)]
One-year funds were at six , 5-7/8 percent .	[('MISC', 0, 0)]
Israel approves Arafat 's flight to West Bank .	[('PER', 2, 2), ('LOC', 0, 0), ('LOC', 6, 7)]
JERUSALEM 1996-08-22	[('LOC', 0, 0)]
Israel gave Palestinian President Yasser Arafat permission on Thursday to fly over its territory to the West Bank , ending a brief Israeli-PLO crisis , an Arafat adviser said .	[('PER', 4, 5), ('PER', 26, 26), ('LOC', 0, 0), ('LOC', 16, 17), ('MISC', 2, 2), ('MISC', 22, 22)]
""" The problem is over ."	[]
"The president 's aircraft has received permission to pass through Israeli airspace but the president is not expected to travel to the West Bank before Monday , "" Nabil Abu Rdainah told Reuters ."	[('ORG', 32, 32), ('PER', 28, 30), ('LOC', 22, 23), ('MISC', 10, 10)]
Arafat had been scheduled to meet former Israeli prime minister Shimon Peres in the West Bank town of Ramallah on Thursday but the venue was changed to Gaza after Israel denied flight clearance to the Palestinian leader 's helicopters .	[('PER', 0, 0), ('PER', 10, 11), ('LOC', 14, 15), ('LOC', 18, 18), ('LOC', 27, 27), ('LOC', 29, 29), ('MISC', 7, 7), ('MISC', 35, 35)]
Palestinian officials accused right-wing Prime Minister Benjamin Netanyahu of trying to stop the Ramallah meeting by keeping Arafat grounded .	[('PER', 6, 7), ('PER', 17, 17), ('LOC', 13, 13), ('MISC', 0, 0)]
Arafat subsequently cancelled a meeting between Israeli and PLO officials , on civilian affairs , at the Allenby Bridge crossing between Jordan and the West Bank .	[('ORG', 8, 8), ('PER', 0, 0), ('LOC', 17, 18), ('LOC', 21, 21), ('LOC', 24, 25), ('MISC', 6, 6)]
Abu Rdainah said Arafat had decided against flying to the West Bank on Thursday , after Israel lifted the ban , because he had a busy schedule in Gaza and would not be free until Monday .	[('PER', 0, 1), ('PER', 3, 3), ('LOC', 10, 11), ('LOC', 16, 16), ('LOC', 28, 28)]
Arafat to meet Peres in Gaza after flight ban .	[('PER', 0, 0), ('PER', 3, 3), ('LOC', 5, 5)]
JERUSALEM 1996-08-22	[('LOC', 0, 0)]
Yasser Arafat will meet Shimon Peres in Gaza on Thursday after Palestinians said the right-wing Israeli government had barred the Palestinian leader from flying to the West Bank for talks with the former prime minister .	[('PER', 0, 1), ('PER', 4, 5), ('LOC', 7, 7), ('LOC', 26, 27), ('MISC', 11, 11), ('MISC', 15, 15), ('MISC', 20, 20)]
""" The meeting between Peres and Arafat will take place at Erez checkpoint in Gaza and not in Ramallah as planned , "" Peres ' office said ."	[('PER', 4, 4), ('PER', 6, 6), ('PER', 23, 23), ('LOC', 11, 11), ('LOC', 14, 14), ('LOC', 18, 18)]
Palestinian officials said the Israeli government had barred Arafat from overflying Israel in a Palestinian helicopter to the West Bank in an attempt to bar the meeting with Peres .	[('PER', 8, 8), ('PER', 28, 28), ('LOC', 11, 11), ('LOC', 18, 19), ('MISC', 0, 0), ('MISC', 4, 4), ('MISC', 14, 14)]
Israeli Prime Minister Benjamin Netanyahu has accused opposition leader Peres , who he defeated in May elections , of trying to undermine his Likud government 's authority to conduct peace talks .	[('ORG', 23, 23), ('PER', 3, 4), ('PER', 9, 9), ('MISC', 0, 0)]
Afghan UAE embassy says Taleban guards going home .	[('LOC', 1, 1), ('MISC', 0, 0), ('MISC', 4, 4)]
Hilary Gush	[('PER', 0, 1)]
DUBAI 1996-08-22	[('LOC', 0, 0)]
Three Afghan guards brought to the United Arab Emirates last week by Russian hostages who escaped from the Taleban militia will return to Afghanistan in a few days , the Afghan embassy in Abu Dhabi said on Thursday .	[('LOC', 6, 8), ('LOC', 23, 23), ('LOC', 33, 34), ('MISC', 1, 1), ('MISC', 12, 12), ('MISC', 18, 18), ('MISC', 30, 30)]
""" Our ambassador is in touch with the UAE foreign ministry ."	[('LOC', 8, 8)]
"Their return to Afghanistan will take place in two or three days , "" an embassy official said ."	[('LOC', 3, 3)]
""" The embassy is issuing them travel documents for their return to their homeland ."	[]
"There is no objection to their travel , "" he added ."	[]
The three Islamic Taleban guards were overpowered by seven Russian aircrew who escaped to UAE state Sharjah last Friday on board their own aircraft after a year in the captivity of Taleban militia in Kandahar in southern Afghanistan .	[('LOC', 14, 14), ('LOC', 16, 16), ('LOC', 34, 34), ('LOC', 37, 37), ('MISC', 2, 3), ('MISC', 9, 9), ('MISC', 31, 31)]
The UAE said on Monday it would hand over the three to the International Red Crescent , possibly last Tuesday .	[('ORG', 13, 15), ('LOC', 1, 1)]
It has since been silent on the issue .	[]
"When asked whether the three guards would travel back to Kandahar or the Afghan capital Kabul , the embassy official said : "" That has not been decided , but possibly Kandahar . """	[('LOC', 10, 10), ('LOC', 15, 15), ('LOC', 31, 31), ('MISC', 13, 13)]
Kandahar is the headquarters of the opposition Taleban militia .	[('LOC', 0, 0), ('MISC', 7, 7)]
Kabul is controlled by President Burhanuddin Rabbani 's government , which Taleban is fighting to overthrow .	[('PER', 5, 6), ('LOC', 0, 0), ('MISC', 11, 11)]
The embassy official said the three men , believed to be in their 20s , were currently in Abu Dhabi .	[('LOC', 18, 19)]
He did not elaborate .	[]
The Russians , working for the Aerostan firm in the Russian republic of Tatarstan , were taken hostage after a Taleban MiG-19 fighter forced their cargo plane to land in August 1995 .	[('ORG', 6, 6), ('LOC', 13, 13), ('MISC', 1, 1), ('MISC', 10, 10), ('MISC', 20, 20), ('MISC', 21, 21)]
Taleban said its shipment of ammunition from Albania was evidence of Russian military support for Rabbani 's government .	[('PER', 15, 15), ('LOC', 7, 7), ('MISC', 0, 0), ('MISC', 11, 11)]
Moscow said the crew 's nationality was coincidental .	[('LOC', 0, 0)]
Numerous diplomatic attempts to free the seven failed .	[]
The Russians , who said they overpowered the guards -- two armed with Kalashnikov automatic rifles -- while doing regular maintenance work on their Ilyushin 76 cargo plane last Friday , left the UAE capital Abu Dhabi for home on Sunday .	[('LOC', 33, 33), ('LOC', 35, 36), ('MISC', 1, 1), ('MISC', 13, 13), ('MISC', 24, 25)]
Iraq 's Saddam meets Russia 's Zhirinovsky .	[('PER', 2, 2), ('PER', 6, 6), ('LOC', 0, 0), ('LOC', 4, 4)]
BAGHDAD 1996-08-22	[('LOC', 0, 0)]
"Iraqi President Saddam Hussein has told visiting Russian ultra-nationalist Vladimir Zhirinovsky that Baghdad wanted to maintain "" friendship and cooperation "" with Moscow , official Iraqi newspapers said on Thursday ."	[('PER', 2, 3), ('PER', 9, 10), ('LOC', 12, 12), ('LOC', 22, 22), ('MISC', 0, 0), ('MISC', 7, 7), ('MISC', 25, 25)]
""" President Saddam Hussein stressed during the meeting Iraq 's keenness to maintain friendship and cooperation with Russia , "" the papers said ."	[('PER', 2, 3), ('LOC', 8, 8), ('LOC', 17, 17)]
"They said Zhirinovsky told Saddam before he left Baghdad on Wednesday that his Liberal Democratic party and the Russian Duma ( parliament ) "" are calling for an immediate lifting of the embargo "" imposed on Iraq after its 1990 invasion of Kuwait ."	[('ORG', 13, 15), ('ORG', 19, 19), ('PER', 2, 2), ('PER', 4, 4), ('LOC', 8, 8), ('LOC', 36, 36), ('LOC', 42, 42), ('MISC', 18, 18)]
Zhirinovsky said on Tuesday he would press the Russian government to help end U.N. trade sanctions on Iraq and blamed Moscow for delaying establishment of good ties with Baghdad .	[('ORG', 13, 13), ('PER', 0, 0), ('LOC', 17, 17), ('LOC', 20, 20), ('LOC', 28, 28), ('MISC', 8, 8)]
""" Our stand is firm , namely we are calling on ( the Russian ) government to end the economic embargo on Iraq and resume trade ties between Russia and Iraq , "" he told reporters ."	[('LOC', 22, 22), ('LOC', 28, 28), ('LOC', 30, 30), ('MISC', 13, 13)]
Zhirinovsky visited Iraq twice in 1995 .	[('PER', 0, 0), ('LOC', 2, 2)]
Last October he was invited to attend the referendum held on Iraq 's presidency , which extended Saddam 's term for seven more years .	[('PER', 17, 17), ('LOC', 11, 11)]
PRESS DIGEST - Iraq - Aug 22 .	[('LOC', 3, 3)]
BAGHDAD 1996-08-22	[('LOC', 0, 0)]
These are some of the leading stories in the official Iraqi press on Thursday .	[('MISC', 10, 10)]
Reuters has not verified these stories and does not vouch for their accuracy .	[('ORG', 0, 0)]
THAWRA	[('ORG', 0, 0)]
- Iraq 's President Saddam Hussein meets with chairman of the Russian liberal democratic party Vladimir Zhirinovsky .	[('PER', 4, 5), ('PER', 15, 16), ('LOC', 1, 1), ('MISC', 11, 11)]
- Turkish foreign minister says Turkey will take part in the Baghdad trade fair that will be held in November .	[('LOC', 5, 5), ('LOC', 11, 11), ('MISC', 1, 1)]
IRAQ	[('LOC', 0, 0)]
